alpha3code,image_timestamp,avg_ssm_mm,avg_susm_mm,month,year,platform,country,country_clean,alpha2code,numeric,continet_code,area_km2
GHA,2019-11-16 12:00:00+00:00,11.833288192749023,87.07278442382812,11,2019,afr100,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-11-16 12:00:00+00:00,11.833288192749023,87.07278442382812,11,2019,cities4forests,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-11-19 12:00:00+00:00,10.769704818725586,79.81298828125,11,2019,afr100,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-11-19 12:00:00+00:00,10.769704818725586,79.81298828125,11,2019,cities4forests,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-11-22 12:00:00+00:00,10.511941909790039,74.26773071289062,11,2019,afr100,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-11-22 12:00:00+00:00,10.511941909790039,74.26773071289062,11,2019,cities4forests,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-11-25 12:00:00+00:00,9.900128364562988,69.56267547607422,11,2019,afr100,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-11-25 12:00:00+00:00,9.900128364562988,69.56267547607422,11,2019,cities4forests,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-11-28 12:00:00+00:00,8.51555347442627,65.17660522460938,11,2019,afr100,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-11-28 12:00:00+00:00,8.51555347442627,65.17660522460938,11,2019,cities4forests,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-12-01 12:00:00+00:00,7.428420066833496,58.987648010253906,12,2019,afr100,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-12-01 12:00:00+00:00,7.428420066833496,58.987648010253906,12,2019,cities4forests,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-12-04 12:00:00+00:00,7.282508850097656,53.66342544555664,12,2019,afr100,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-12-04 12:00:00+00:00,7.282508850097656,53.66342544555664,12,2019,cities4forests,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-12-07 12:00:00+00:00,7.384395122528076,50.72783279418945,12,2019,afr100,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-12-07 12:00:00+00:00,7.384395122528076,50.72783279418945,12,2019,cities4forests,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-12-10 12:00:00+00:00,6.500187873840332,47.65382385253906,12,2019,afr100,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-12-10 12:00:00+00:00,6.500187873840332,47.65382385253906,12,2019,cities4forests,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-12-13 12:00:00+00:00,6.397653102874756,44.68342590332031,12,2019,afr100,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-12-13 12:00:00+00:00,6.397653102874756,44.68342590332031,12,2019,cities4forests,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-12-22 12:00:00+00:00,4.741841793060303,35.36516571044922,12,2019,afr100,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-12-22 12:00:00+00:00,4.741841793060303,35.36516571044922,12,2019,cities4forests,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-12-28 12:00:00+00:00,3.856522798538208,28.898921966552734,12,2019,afr100,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-12-28 12:00:00+00:00,3.856522798538208,28.898921966552734,12,2019,cities4forests,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-12-31 12:00:00+00:00,3.7384417057037354,26.414688110351562,12,2019,afr100,Ghana,Ghana,GH,288,AF,238533.0
GHA,2019-12-31 12:00:00+00:00,3.7384417057037354,26.414688110351562,12,2019,cities4forests,Ghana,Ghana,GH,288,AF,238533.0
BLZ,2017-01-03 12:00:00+00:00,18.32583236694336,113.05367279052734,1,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-01-06 12:00:00+00:00,18.773845672607422,109.58357238769531,1,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-01-09 12:00:00+00:00,18.81916046142578,110.79620361328125,1,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-01-12 12:00:00+00:00,18.33277702331543,109.86792755126953,1,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-01-15 12:00:00+00:00,20.023391723632812,115.16089630126953,1,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-01-18 12:00:00+00:00,18.723909378051758,113.146484375,1,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-01-21 12:00:00+00:00,15.825238227844238,107.90357208251953,1,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-01-24 12:00:00+00:00,14.316354751586914,99.23527526855469,1,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-01-27 12:00:00+00:00,13.549897193908691,91.15425109863281,1,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-01-30 12:00:00+00:00,13.938021659851074,86.54962158203125,1,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-02-02 12:00:00+00:00,12.679903030395508,81.15277862548828,2,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-02-05 12:00:00+00:00,11.871994972229004,76.99958801269531,2,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-02-08 12:00:00+00:00,10.325775146484375,71.40955352783203,2,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-02-11 12:00:00+00:00,9.975967407226562,65.11028289794922,2,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-02-14 12:00:00+00:00,8.743606567382812,60.63400650024414,2,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-02-17 12:00:00+00:00,7.688653945922852,54.512596130371094,2,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
